dataset,target_mode,k_eval,candidate_k,delta,p_near,b_type,alpha,beta,pseudo_pool_k,pseudo_top_m,num_samples,num_valid_samples,num_surrogate_valid_samples,num_rankable_samples,num_aer_effective_samples,num_pc_effective_samples,aer_at_k,path_coverage_at_k,score
cwq,pseudo,20,500,3,8,12,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.603106,0.598697,0.600902
cwq,pseudo,20,500,3,8,14,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.603089,0.598414,0.600752
cwq,pseudo,20,500,3,8,16,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.603699,0.59898,0.60134
cwq,pseudo,20,500,3,8,18,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.604015,0.599264,0.60164
cwq,pseudo,20,500,3,8,20,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.604593,0.59983,0.602212
cwq,pseudo,20,500,3,9,12,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.604724,0.600963,0.602844
cwq,pseudo,20,500,3,9,14,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.604707,0.60068,0.602694
cwq,pseudo,20,500,3,9,16,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.605318,0.601246,0.603282
cwq,pseudo,20,500,3,9,18,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.605634,0.601529,0.603582
cwq,pseudo,20,500,3,9,20,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.606211,0.602096,0.604154
cwq,pseudo,20,500,3,10,12,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.60602,0.602662,0.604341
cwq,pseudo,20,500,3,10,14,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.606074,0.602662,0.604368
cwq,pseudo,20,500,3,10,16,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.606697,0.603229,0.604963
cwq,pseudo,20,500,3,10,18,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.607013,0.603512,0.605263
cwq,pseudo,20,500,3,10,20,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.607591,0.604078,0.605835
cwq,pseudo,20,500,3,11,12,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.60814,0.605494,0.606817
cwq,pseudo,20,500,3,11,14,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.608173,0.605211,0.606692
cwq,pseudo,20,500,3,11,16,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.608513,0.605494,0.607004
cwq,pseudo,20,500,3,11,18,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.608829,0.605777,0.607303
cwq,pseudo,20,500,3,11,20,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.609407,0.606344,0.607875
cwq,pseudo,20,500,3,12,12,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.610159,0.610025,0.610092
cwq,pseudo,20,500,3,12,14,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.610129,0.609742,0.609935
cwq,pseudo,20,500,3,12,16,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.610469,0.610025,0.610247
cwq,pseudo,20,500,3,12,18,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.610785,0.610309,0.610547
cwq,pseudo,20,500,3,12,20,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.610797,0.610309,0.610553
cwq,pseudo,20,500,3,13,12,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.60978,0.610592,0.610186
cwq,pseudo,20,500,3,13,14,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.609846,0.610592,0.610219
cwq,pseudo,20,500,3,13,16,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.609903,0.610592,0.610248
