dataset,target_mode,k_eval,candidate_k,delta,p_near,b_type,alpha,beta,pseudo_pool_k,pseudo_top_m,num_samples,num_valid_samples,num_surrogate_valid_samples,num_rankable_samples,num_aer_effective_samples,num_pc_effective_samples,aer_at_k,path_coverage_at_k,score
cwq,pseudo,20,500,3,15,20,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.609747,0.611442,0.610594
cwq,pseudo,20,500,3,15,18,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.609735,0.611442,0.610588
cwq,pseudo,20,500,3,12,20,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.610797,0.610309,0.610553
cwq,pseudo,20,500,3,12,18,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.610785,0.610309,0.610547
cwq,pseudo,20,500,4,15,20,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.616107,0.604928,0.610517
cwq,pseudo,20,500,4,15,18,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.616096,0.604928,0.610512
cwq,pseudo,20,500,3,15,16,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.609545,0.611442,0.610493
cwq,pseudo,20,500,3,15,14,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.609488,0.611442,0.610465
cwq,pseudo,20,500,3,15,12,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.609448,0.611442,0.610445
cwq,pseudo,20,500,4,15,16,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.615906,0.604928,0.610417
cwq,pseudo,20,500,4,15,14,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.615848,0.604928,0.610388
cwq,pseudo,20,500,4,15,12,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.615808,0.604928,0.610368
cwq,pseudo,20,500,3,13,20,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.610136,0.610592,0.610364
cwq,pseudo,20,500,3,13,18,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.610125,0.610592,0.610358
cwq,pseudo,20,500,3,14,20,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.609942,0.610592,0.610267
cwq,pseudo,20,500,3,14,18,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.609931,0.610592,0.610261
cwq,pseudo,20,500,3,13,16,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.609903,0.610592,0.610248
cwq,pseudo,20,500,3,12,16,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.610469,0.610025,0.610247
cwq,pseudo,20,500,3,13,14,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.609846,0.610592,0.610219
cwq,pseudo,20,500,3,13,12,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.60978,0.610592,0.610186
