dataset,target_mode,k_eval,candidate_k,delta,p_near,b_type,alpha,beta,pseudo_pool_k,pseudo_top_m,num_samples,num_valid_samples,num_surrogate_valid_samples,num_rankable_samples,num_aer_effective_samples,num_pc_effective_samples,aer_at_k,path_coverage_at_k,score
cwq,pseudo,20,500,4,24,20,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.617688,0.607477,0.612582
cwq,pseudo,20,500,4,18,16,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.617562,0.607477,0.612519
cwq,pseudo,20,500,4,18,20,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.617562,0.607477,0.612519
cwq,pseudo,20,500,4,18,24,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.617562,0.607477,0.612519
cwq,pseudo,20,500,4,18,28,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.617562,0.607477,0.612519
cwq,pseudo,20,500,4,18,32,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.617562,0.607477,0.612519
cwq,pseudo,20,500,4,20,16,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.617688,0.607193,0.612441
cwq,pseudo,20,500,4,20,20,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.617688,0.607193,0.612441
cwq,pseudo,20,500,4,20,24,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.617688,0.607193,0.612441
cwq,pseudo,20,500,4,20,28,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.617688,0.607193,0.612441
cwq,pseudo,20,500,4,20,32,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.617688,0.607193,0.612441
cwq,pseudo,20,500,4,24,16,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.617688,0.607193,0.612441
cwq,pseudo,20,500,4,24,24,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.617688,0.607193,0.612441
cwq,pseudo,20,500,4,24,28,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.617688,0.607193,0.612441
cwq,pseudo,20,500,4,24,32,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.617688,0.607193,0.612441
cwq,pseudo,20,500,4,22,32,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.617688,0.60691,0.612299
cwq,pseudo,20,500,4,22,16,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.617688,0.606627,0.612157
cwq,pseudo,20,500,4,22,20,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.617688,0.606627,0.612157
cwq,pseudo,20,500,4,22,24,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.617688,0.606627,0.612157
cwq,pseudo,20,500,4,22,28,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.617688,0.606627,0.612157
