dataset,target_mode,k_eval,candidate_k,delta,p_near,b_type,alpha,beta,pseudo_pool_k,pseudo_top_m,num_samples,num_valid_samples,num_surrogate_valid_samples,num_rankable_samples,num_aer_effective_samples,num_pc_effective_samples,aer_at_k,path_coverage_at_k,score
cwq,pseudo,20,500,1,12,16,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.532235,0.539224,0.535729
cwq,pseudo,20,500,1,12,20,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.532324,0.539224,0.535774
cwq,pseudo,20,500,1,12,24,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.532324,0.539224,0.535774
cwq,pseudo,20,500,1,12,28,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.532324,0.539224,0.535774
cwq,pseudo,20,500,1,12,32,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.532324,0.539224,0.535774
cwq,pseudo,20,500,1,13,16,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.528947,0.537242,0.533094
cwq,pseudo,20,500,1,13,20,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.529036,0.537242,0.533139
cwq,pseudo,20,500,1,13,24,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.529036,0.537242,0.533139
cwq,pseudo,20,500,1,13,28,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.529036,0.537242,0.533139
cwq,pseudo,20,500,1,13,32,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.529036,0.537242,0.533139
cwq,pseudo,20,500,1,14,16,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.524193,0.533843,0.529018
cwq,pseudo,20,500,1,14,20,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.524282,0.533843,0.529063
cwq,pseudo,20,500,1,14,24,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.524282,0.533843,0.529063
cwq,pseudo,20,500,1,14,28,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.524282,0.533843,0.529063
cwq,pseudo,20,500,1,14,32,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.524282,0.533843,0.529063
cwq,pseudo,20,500,1,15,16,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.519959,0.530728,0.525343
cwq,pseudo,20,500,1,15,20,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.520048,0.530728,0.525388
cwq,pseudo,20,500,1,15,24,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.520048,0.530728,0.525388
cwq,pseudo,20,500,1,15,28,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.520048,0.530728,0.525388
cwq,pseudo,20,500,1,15,32,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.520048,0.530728,0.525388
cwq,pseudo,20,500,1,16,16,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.517563,0.529595,0.523579
cwq,pseudo,20,500,1,16,20,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.517652,0.529595,0.523624
cwq,pseudo,20,500,1,16,24,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.517652,0.529595,0.523624
cwq,pseudo,20,500,1,16,28,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.517652,0.529595,0.523624
cwq,pseudo,20,500,1,16,32,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.517652,0.529595,0.523624
cwq,pseudo,20,500,1,17,16,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.514701,0.527896,0.521298
cwq,pseudo,20,500,1,17,20,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.51479,0.527896,0.521343
cwq,pseudo,20,500,1,17,24,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.51479,0.527896,0.521343
cwq,pseudo,20,500,1,17,28,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.51479,0.527896,0.521343
cwq,pseudo,20,500,1,17,32,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.51479,0.527896,0.521343
cwq,pseudo,20,500,1,18,16,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.512827,0.527046,0.519936
cwq,pseudo,20,500,1,18,20,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.512916,0.527046,0.519981
cwq,pseudo,20,500,1,18,24,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.512916,0.527046,0.519981
cwq,pseudo,20,500,1,18,28,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.512916,0.527046,0.519981
cwq,pseudo,20,500,1,18,32,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.512916,0.527046,0.519981
cwq,pseudo,20,500,1,20,16,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.512473,0.527046,0.519759
cwq,pseudo,20,500,1,20,20,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.512562,0.527046,0.519804
cwq,pseudo,20,500,1,20,24,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.512562,0.527046,0.519804
cwq,pseudo,20,500,1,20,28,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.512562,0.527046,0.519804
