dataset,target_mode,k_eval,candidate_k,delta,p_near,b_type,alpha,beta,pseudo_pool_k,pseudo_top_m,num_samples,num_valid_samples,num_surrogate_valid_samples,num_rankable_samples,num_aer_effective_samples,num_pc_effective_samples,aer_at_k,path_coverage_at_k,score
cwq,pseudo,20,500,4,28,20,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.617688,0.60776,0.612724
cwq,pseudo,20,500,4,24,20,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.617688,0.607477,0.612582
cwq,pseudo,20,500,4,26,20,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.617688,0.607477,0.612582
cwq,pseudo,20,500,4,18,20,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.617562,0.607477,0.612519
cwq,pseudo,20,500,4,20,20,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.617688,0.607193,0.612441
cwq,pseudo,20,500,4,30,20,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.617688,0.607193,0.612441
cwq,pseudo,20,500,4,22,20,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.617688,0.606627,0.612157
cwq,pseudo,20,500,5,28,20,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.616059,0.606344,0.611201
cwq,pseudo,20,500,5,24,20,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.616059,0.606061,0.61106
cwq,pseudo,20,500,5,26,20,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.616059,0.606061,0.61106
cwq,pseudo,20,500,5,18,20,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.615933,0.606061,0.610997
cwq,pseudo,20,500,5,30,20,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.616059,0.605777,0.610918
cwq,pseudo,20,500,5,20,20,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.616059,0.605494,0.610777
cwq,pseudo,20,500,5,22,20,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.616059,0.604928,0.610493
cwq,pseudo,20,500,6,28,20,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.614926,0.605494,0.61021
cwq,pseudo,20,500,6,24,20,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.614926,0.605211,0.610069
cwq,pseudo,20,500,6,26,20,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.614926,0.605211,0.610069
cwq,pseudo,20,500,6,18,20,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.6148,0.605211,0.610006
cwq,pseudo,20,500,6,30,20,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.614926,0.604928,0.609927
cwq,pseudo,20,500,6,20,20,0.5,0.2,100,3,3531,3531,3531,3531,2848,2848,0.614926,0.604645,0.609785
