dataset,target_mode,k_eval,candidate_k,delta,p_near,b_type,alpha,beta,pseudo_pool_k,pseudo_top_m,num_samples,num_valid_samples,num_surrogate_valid_samples,num_rankable_samples,num_aer_effective_samples,num_pc_effective_samples,aer_at_k,path_coverage_at_k,score
webqsp,pseudo,20,500,0,0,0,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.772394,0.841977,0.807186
webqsp,pseudo,20,500,0,0,1,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.772674,0.842587,0.80763
webqsp,pseudo,20,500,0,0,2,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.770873,0.840146,0.80551
webqsp,pseudo,20,500,0,0,4,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.77187,0.842587,0.807228
webqsp,pseudo,20,500,0,0,8,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.767295,0.837706,0.8025
webqsp,pseudo,20,500,0,0,16,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.764457,0.835265,0.799861
webqsp,pseudo,20,500,0,1,0,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.772394,0.841977,0.807186
webqsp,pseudo,20,500,0,1,1,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.772674,0.842587,0.80763
webqsp,pseudo,20,500,0,1,2,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.770873,0.840146,0.80551
webqsp,pseudo,20,500,0,1,4,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.77187,0.842587,0.807228
webqsp,pseudo,20,500,0,1,8,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.767295,0.837706,0.8025
webqsp,pseudo,20,500,0,1,16,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.764457,0.835265,0.799861
webqsp,pseudo,20,500,0,2,0,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.772394,0.841977,0.807186
webqsp,pseudo,20,500,0,2,1,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.772674,0.842587,0.80763
webqsp,pseudo,20,500,0,2,2,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.770873,0.840146,0.80551
webqsp,pseudo,20,500,0,2,4,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.77187,0.842587,0.807228
webqsp,pseudo,20,500,0,2,8,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.767295,0.837706,0.8025
webqsp,pseudo,20,500,0,2,16,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.764457,0.835265,0.799861
webqsp,pseudo,20,500,0,5,0,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.772394,0.841977,0.807186
webqsp,pseudo,20,500,0,5,1,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.772674,0.842587,0.80763
webqsp,pseudo,20,500,0,5,2,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.770873,0.840146,0.80551
webqsp,pseudo,20,500,0,5,4,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.77187,0.842587,0.807228
webqsp,pseudo,20,500,0,5,8,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.767295,0.837706,0.8025
webqsp,pseudo,20,500,0,5,16,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.764457,0.835265,0.799861
webqsp,pseudo,20,500,0,10,0,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.772394,0.841977,0.807186
webqsp,pseudo,20,500,0,10,1,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.772674,0.842587,0.80763
webqsp,pseudo,20,500,0,10,2,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.770873,0.840146,0.80551
webqsp,pseudo,20,500,0,10,4,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.77187,0.842587,0.807228
webqsp,pseudo,20,500,0,10,8,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.767295,0.837706,0.8025
webqsp,pseudo,20,500,0,10,16,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.764457,0.835265,0.799861
webqsp,pseudo,20,500,0,15,0,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.772394,0.841977,0.807186
webqsp,pseudo,20,500,0,15,1,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.772674,0.842587,0.80763
webqsp,pseudo,20,500,0,15,2,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.770873,0.840146,0.80551
webqsp,pseudo,20,500,0,15,4,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.77187,0.842587,0.807228
webqsp,pseudo,20,500,0,15,8,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.767295,0.837706,0.8025
webqsp,pseudo,20,500,0,15,16,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.764457,0.835265,0.799861
webqsp,pseudo,20,500,0,20,0,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.772394,0.841977,0.807186
webqsp,pseudo,20,500,0,20,1,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.772674,0.842587,0.80763
webqsp,pseudo,20,500,0,20,2,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.770873,0.840146,0.80551
webqsp,pseudo,20,500,0,20,4,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.77187,0.842587,0.807228
webqsp,pseudo,20,500,0,20,8,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.767295,0.837706,0.8025
webqsp,pseudo,20,500,0,20,16,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.764457,0.835265,0.799861
webqsp,pseudo,20,500,0,30,0,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.772394,0.841977,0.807186
webqsp,pseudo,20,500,0,30,1,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.772674,0.842587,0.80763
webqsp,pseudo,20,500,0,30,2,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.770873,0.840146,0.80551
webqsp,pseudo,20,500,0,30,4,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.77187,0.842587,0.807228
webqsp,pseudo,20,500,0,30,8,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.767295,0.837706,0.8025
