dataset,target_mode,k_eval,candidate_k,delta,p_near,b_type,alpha,beta,pseudo_pool_k,pseudo_top_m,num_samples,num_valid_samples,num_surrogate_valid_samples,num_rankable_samples,num_aer_effective_samples,num_pc_effective_samples,aer_at_k,path_coverage_at_k,score
webqsp,pseudo,20,500,3,10,16,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.774687,0.848688,0.811687
webqsp,pseudo,20,500,3,10,4,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.77408,0.848078,0.811079
webqsp,pseudo,20,500,3,10,8,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.77404,0.848078,0.811059
webqsp,pseudo,20,500,3,10,1,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.774576,0.846858,0.810717
webqsp,pseudo,20,500,3,10,0,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.774272,0.846248,0.81026
webqsp,pseudo,20,500,2,10,1,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.772101,0.848078,0.81009
webqsp,pseudo,20,500,2,10,0,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.772447,0.847468,0.809957
webqsp,pseudo,20,500,3,10,2,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.772884,0.845027,0.808956
webqsp,pseudo,20,500,3,5,1,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.774195,0.843197,0.808696
webqsp,pseudo,20,500,2,5,1,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.773535,0.843807,0.808671
webqsp,pseudo,20,500,2,10,4,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.769495,0.847468,0.808482
webqsp,pseudo,20,500,3,5,4,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.77342,0.843197,0.808309
webqsp,pseudo,20,500,2,5,4,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.77276,0.843807,0.808284
webqsp,pseudo,20,500,3,5,0,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.773915,0.842587,0.808251
webqsp,pseudo,20,500,2,2,1,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.773284,0.843197,0.80824
webqsp,pseudo,20,500,3,2,1,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.773284,0.843197,0.80824
webqsp,pseudo,20,500,2,5,0,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.773256,0.843197,0.808226
webqsp,pseudo,20,500,3,15,8,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.768364,0.848078,0.808221
webqsp,pseudo,20,500,3,15,16,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.768364,0.848078,0.808221
webqsp,pseudo,20,500,2,10,16,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.768942,0.847468,0.808205
