dataset,target_mode,k_eval,candidate_k,delta,p_near,b_type,alpha,beta,pseudo_pool_k,pseudo_top_m,num_samples,num_valid_samples,num_surrogate_valid_samples,num_rankable_samples,num_aer_effective_samples,num_pc_effective_samples,aer_at_k,path_coverage_at_k,score
webqsp,pseudo,20,500,3,8,12,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.774806,0.845027,0.809917
webqsp,pseudo,20,500,3,8,14,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.774962,0.845027,0.809995
webqsp,pseudo,20,500,3,8,16,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.775262,0.845027,0.810145
webqsp,pseudo,20,500,3,8,18,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.77534,0.845027,0.810184
webqsp,pseudo,20,500,3,8,20,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.775374,0.845027,0.810201
webqsp,pseudo,20,500,3,9,12,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.774025,0.846248,0.810137
webqsp,pseudo,20,500,3,9,14,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.774123,0.846248,0.810186
webqsp,pseudo,20,500,3,9,16,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.774295,0.846248,0.810271
webqsp,pseudo,20,500,3,9,18,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.774372,0.846248,0.81031
webqsp,pseudo,20,500,3,9,20,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.774407,0.846248,0.810327
webqsp,pseudo,20,500,3,10,12,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.774563,0.848688,0.811626
webqsp,pseudo,20,500,3,10,14,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.774573,0.848688,0.811631
webqsp,pseudo,20,500,3,10,16,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.774687,0.848688,0.811687
webqsp,pseudo,20,500,3,10,18,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.774757,0.848688,0.811723
webqsp,pseudo,20,500,3,10,20,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.774792,0.848688,0.81174
webqsp,pseudo,20,500,3,11,12,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.774792,0.849908,0.81235
webqsp,pseudo,20,500,3,11,14,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.774792,0.849908,0.81235
webqsp,pseudo,20,500,3,11,16,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.774848,0.849908,0.812378
webqsp,pseudo,20,500,3,11,18,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.774904,0.849908,0.812406
webqsp,pseudo,20,500,3,11,20,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.774939,0.849908,0.812424
webqsp,pseudo,20,500,3,12,12,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.773094,0.848688,0.810891
webqsp,pseudo,20,500,3,12,14,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.773094,0.848688,0.810891
webqsp,pseudo,20,500,3,12,16,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.773122,0.848688,0.810905
webqsp,pseudo,20,500,3,12,18,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.773157,0.848688,0.810922
webqsp,pseudo,20,500,3,12,20,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.773184,0.848688,0.810936
webqsp,pseudo,20,500,3,13,12,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.771425,0.847468,0.809446
webqsp,pseudo,20,500,3,13,14,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.771425,0.847468,0.809446
webqsp,pseudo,20,500,3,13,16,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.771425,0.847468,0.809446
webqsp,pseudo,20,500,3,13,18,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.771452,0.847468,0.80946
webqsp,pseudo,20,500,3,13,20,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.77148,0.847468,0.809474
webqsp,pseudo,20,500,3,14,12,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.770617,0.846858,0.808737
webqsp,pseudo,20,500,3,14,14,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.770617,0.846858,0.808737
webqsp,pseudo,20,500,3,14,16,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.770617,0.846858,0.808737
webqsp,pseudo,20,500,3,14,18,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.770617,0.846858,0.808737
webqsp,pseudo,20,500,3,14,20,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.770645,0.846858,0.808751
webqsp,pseudo,20,500,3,15,12,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.768364,0.848078,0.808221
webqsp,pseudo,20,500,3,15,14,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.768364,0.848078,0.808221
webqsp,pseudo,20,500,3,15,16,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.768364,0.848078,0.808221
webqsp,pseudo,20,500,3,15,18,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.768364,0.848078,0.808221
webqsp,pseudo,20,500,3,15,20,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.768392,0.848078,0.808235
webqsp,pseudo,20,500,4,8,12,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.772862,0.841367,0.807115
webqsp,pseudo,20,500,4,8,14,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.773018,0.841367,0.807192
webqsp,pseudo,20,500,4,8,16,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.773319,0.841367,0.807343
webqsp,pseudo,20,500,4,8,18,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.773396,0.841367,0.807381
webqsp,pseudo,20,500,4,8,20,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.773431,0.841367,0.807399
webqsp,pseudo,20,500,4,9,12,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.77356,0.841977,0.807768
webqsp,pseudo,20,500,4,9,14,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.773658,0.841977,0.807817
webqsp,pseudo,20,500,4,9,16,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.773829,0.841977,0.807903
webqsp,pseudo,20,500,4,9,18,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.773907,0.841977,0.807942
webqsp,pseudo,20,500,4,9,20,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.773942,0.841977,0.807959
webqsp,pseudo,20,500,4,10,12,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.775178,0.842587,0.808883
webqsp,pseudo,20,500,4,10,14,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.775189,0.842587,0.808888
webqsp,pseudo,20,500,4,10,16,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.775302,0.842587,0.808945
webqsp,pseudo,20,500,4,10,18,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.775373,0.842587,0.80898
webqsp,pseudo,20,500,4,10,20,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.775407,0.842587,0.808997
webqsp,pseudo,20,500,4,11,12,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.775443,0.844417,0.80993
webqsp,pseudo,20,500,4,11,14,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.775443,0.844417,0.80993
webqsp,pseudo,20,500,4,11,16,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.775498,0.844417,0.809958
webqsp,pseudo,20,500,4,11,18,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.775554,0.844417,0.809986
webqsp,pseudo,20,500,4,11,20,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.775589,0.844417,0.810003
webqsp,pseudo,20,500,4,12,12,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.774745,0.843197,0.808971
webqsp,pseudo,20,500,4,12,14,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.774745,0.843197,0.808971
webqsp,pseudo,20,500,4,12,16,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.774773,0.843197,0.808985
webqsp,pseudo,20,500,4,12,18,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.774808,0.843197,0.809002
webqsp,pseudo,20,500,4,12,20,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.774836,0.843197,0.809016
webqsp,pseudo,20,500,4,13,12,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.774416,0.842587,0.808501
webqsp,pseudo,20,500,4,13,14,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.774416,0.842587,0.808501
webqsp,pseudo,20,500,4,13,16,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.774416,0.842587,0.808501
webqsp,pseudo,20,500,4,13,18,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.774444,0.842587,0.808515
webqsp,pseudo,20,500,4,13,20,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.774471,0.842587,0.808529
webqsp,pseudo,20,500,4,14,12,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.775556,0.844417,0.809987
webqsp,pseudo,20,500,4,14,14,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.775556,0.844417,0.809987
webqsp,pseudo,20,500,4,14,16,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.775556,0.844417,0.809987
webqsp,pseudo,20,500,4,14,18,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.775556,0.844417,0.809987
webqsp,pseudo,20,500,4,14,20,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.775584,0.844417,0.810001
webqsp,pseudo,20,500,4,15,12,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.774973,0.843807,0.80939
webqsp,pseudo,20,500,4,15,14,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.774973,0.843807,0.80939
