dataset,target_mode,k_eval,candidate_k,delta,p_near,b_type,alpha,beta,pseudo_pool_k,pseudo_top_m,num_samples,num_valid_samples,num_surrogate_valid_samples,num_rankable_samples,num_aer_effective_samples,num_pc_effective_samples,aer_at_k,path_coverage_at_k,score
webqsp,pseudo,20,500,0,50,0,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.772394,0.841977,0.807186
webqsp,pseudo,20,500,0,50,1,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.772674,0.842587,0.80763
webqsp,pseudo,20,500,0,50,2,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.770873,0.840146,0.80551
webqsp,pseudo,20,500,0,50,3,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.771939,0.841367,0.806653
webqsp,pseudo,20,500,0,50,5,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.771179,0.841367,0.806273
webqsp,pseudo,20,500,0,100,0,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.772394,0.841977,0.807186
webqsp,pseudo,20,500,0,100,1,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.772674,0.842587,0.80763
webqsp,pseudo,20,500,0,100,2,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.770873,0.840146,0.80551
webqsp,pseudo,20,500,0,100,3,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.771939,0.841367,0.806653
webqsp,pseudo,20,500,0,100,5,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.771179,0.841367,0.806273
webqsp,pseudo,20,500,0,200,0,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.772394,0.841977,0.807186
webqsp,pseudo,20,500,0,200,1,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.772674,0.842587,0.80763
webqsp,pseudo,20,500,0,200,2,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.770873,0.840146,0.80551
webqsp,pseudo,20,500,0,200,3,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.771939,0.841367,0.806653
webqsp,pseudo,20,500,0,200,5,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.771179,0.841367,0.806273
webqsp,pseudo,20,500,0,300,0,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.772394,0.841977,0.807186
webqsp,pseudo,20,500,0,300,1,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.772674,0.842587,0.80763
webqsp,pseudo,20,500,0,300,2,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.770873,0.840146,0.80551
webqsp,pseudo,20,500,0,300,3,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.771939,0.841367,0.806653
webqsp,pseudo,20,500,0,300,5,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.771179,0.841367,0.806273
webqsp,pseudo,20,500,0,500,0,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.772394,0.841977,0.807186
webqsp,pseudo,20,500,0,500,1,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.772674,0.842587,0.80763
webqsp,pseudo,20,500,0,500,2,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.770873,0.840146,0.80551
webqsp,pseudo,20,500,0,500,3,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.771939,0.841367,0.806653
webqsp,pseudo,20,500,0,500,5,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.771179,0.841367,0.806273
webqsp,pseudo,20,500,1,50,0,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.718933,0.827334,0.773134
webqsp,pseudo,20,500,1,50,1,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.718604,0.827334,0.772969
webqsp,pseudo,20,500,1,50,2,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.716898,0.827334,0.772116
webqsp,pseudo,20,500,1,50,3,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.71704,0.826724,0.771882
webqsp,pseudo,20,500,1,50,5,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.716386,0.826113,0.77125
webqsp,pseudo,20,500,1,100,0,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.718933,0.827334,0.773134
webqsp,pseudo,20,500,1,100,1,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.718604,0.827334,0.772969
webqsp,pseudo,20,500,1,100,2,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.716898,0.827334,0.772116
webqsp,pseudo,20,500,1,100,3,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.71704,0.826724,0.771882
webqsp,pseudo,20,500,1,100,5,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.716386,0.826113,0.77125
webqsp,pseudo,20,500,1,200,0,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.718933,0.827334,0.773134
webqsp,pseudo,20,500,1,200,1,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.718604,0.827334,0.772969
webqsp,pseudo,20,500,1,200,2,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.716898,0.827334,0.772116
webqsp,pseudo,20,500,1,200,3,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.71704,0.826724,0.771882
webqsp,pseudo,20,500,1,200,5,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.716386,0.826113,0.77125
webqsp,pseudo,20,500,1,300,0,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.718933,0.827334,0.773134
webqsp,pseudo,20,500,1,300,1,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.718604,0.827334,0.772969
webqsp,pseudo,20,500,1,300,2,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.716898,0.827334,0.772116
webqsp,pseudo,20,500,1,300,3,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.71704,0.826724,0.771882
webqsp,pseudo,20,500,1,300,5,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.716386,0.826113,0.77125
webqsp,pseudo,20,500,1,500,0,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.718933,0.827334,0.773134
webqsp,pseudo,20,500,1,500,1,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.718604,0.827334,0.772969
webqsp,pseudo,20,500,1,500,2,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.716898,0.827334,0.772116
webqsp,pseudo,20,500,1,500,3,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.71704,0.826724,0.771882
webqsp,pseudo,20,500,1,500,5,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.716386,0.826113,0.77125
webqsp,pseudo,20,500,2,50,0,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.724161,0.832215,0.778188
webqsp,pseudo,20,500,2,50,1,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.724161,0.832215,0.778188
webqsp,pseudo,20,500,2,50,2,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.724161,0.832215,0.778188
webqsp,pseudo,20,500,2,50,3,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.724161,0.832215,0.778188
webqsp,pseudo,20,500,2,50,5,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.724161,0.832215,0.778188
webqsp,pseudo,20,500,2,100,0,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.724161,0.832215,0.778188
webqsp,pseudo,20,500,2,100,1,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.724161,0.832215,0.778188
webqsp,pseudo,20,500,2,100,2,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.724161,0.832215,0.778188
webqsp,pseudo,20,500,2,100,3,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.724161,0.832215,0.778188
webqsp,pseudo,20,500,2,100,5,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.724161,0.832215,0.778188
webqsp,pseudo,20,500,2,200,0,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.724161,0.831605,0.777883
webqsp,pseudo,20,500,2,200,1,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.724161,0.831605,0.777883
webqsp,pseudo,20,500,2,200,2,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.724161,0.831605,0.777883
webqsp,pseudo,20,500,2,200,3,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.724161,0.831605,0.777883
webqsp,pseudo,20,500,2,200,5,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.724161,0.831605,0.777883
webqsp,pseudo,20,500,2,300,0,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.724161,0.831605,0.777883
webqsp,pseudo,20,500,2,300,1,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.724161,0.831605,0.777883
webqsp,pseudo,20,500,2,300,2,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.724161,0.831605,0.777883
webqsp,pseudo,20,500,2,300,3,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.724161,0.831605,0.777883
webqsp,pseudo,20,500,2,300,5,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.724161,0.831605,0.777883
webqsp,pseudo,20,500,2,500,0,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.724161,0.831605,0.777883
webqsp,pseudo,20,500,2,500,1,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.724161,0.831605,0.777883
webqsp,pseudo,20,500,2,500,2,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.724161,0.831605,0.777883
webqsp,pseudo,20,500,2,500,3,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.724161,0.831605,0.777883
webqsp,pseudo,20,500,2,500,5,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.724161,0.831605,0.777883
webqsp,pseudo,20,500,3,50,0,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.746926,0.839536,0.793231
webqsp,pseudo,20,500,3,50,1,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.746926,0.839536,0.793231
webqsp,pseudo,20,500,3,50,2,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.746926,0.839536,0.793231
webqsp,pseudo,20,500,3,50,3,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.746926,0.839536,0.793231
webqsp,pseudo,20,500,3,50,5,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.746926,0.839536,0.793231
webqsp,pseudo,20,500,3,100,0,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.746926,0.839536,0.793231
webqsp,pseudo,20,500,3,100,1,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.746926,0.839536,0.793231
webqsp,pseudo,20,500,3,100,2,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.746926,0.839536,0.793231
webqsp,pseudo,20,500,3,100,3,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.746926,0.839536,0.793231
webqsp,pseudo,20,500,3,100,5,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.746926,0.839536,0.793231
webqsp,pseudo,20,500,3,200,0,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.746926,0.839536,0.793231
webqsp,pseudo,20,500,3,200,1,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.746926,0.839536,0.793231
webqsp,pseudo,20,500,3,200,2,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.746926,0.839536,0.793231
webqsp,pseudo,20,500,3,200,3,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.746926,0.839536,0.793231
webqsp,pseudo,20,500,3,200,5,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.746926,0.839536,0.793231
webqsp,pseudo,20,500,3,300,0,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.746926,0.839536,0.793231
webqsp,pseudo,20,500,3,300,1,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.746926,0.839536,0.793231
