dataset,target_mode,k_eval,candidate_k,delta,p_near,b_type,alpha,beta,pseudo_pool_k,pseudo_top_m,num_samples,num_valid_samples,num_surrogate_valid_samples,num_rankable_samples,num_aer_effective_samples,num_pc_effective_samples,aer_at_k,path_coverage_at_k,score
webqsp,pseudo,20,500,0,50,1,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.772674,0.842587,0.80763
webqsp,pseudo,20,500,0,100,1,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.772674,0.842587,0.80763
webqsp,pseudo,20,500,0,200,1,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.772674,0.842587,0.80763
webqsp,pseudo,20,500,0,300,1,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.772674,0.842587,0.80763
webqsp,pseudo,20,500,0,500,1,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.772674,0.842587,0.80763
webqsp,pseudo,20,500,0,50,0,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.772394,0.841977,0.807186
webqsp,pseudo,20,500,0,100,0,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.772394,0.841977,0.807186
webqsp,pseudo,20,500,0,200,0,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.772394,0.841977,0.807186
webqsp,pseudo,20,500,0,300,0,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.772394,0.841977,0.807186
webqsp,pseudo,20,500,0,500,0,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.772394,0.841977,0.807186
webqsp,pseudo,20,500,0,50,3,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.771939,0.841367,0.806653
webqsp,pseudo,20,500,0,100,3,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.771939,0.841367,0.806653
webqsp,pseudo,20,500,0,200,3,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.771939,0.841367,0.806653
webqsp,pseudo,20,500,0,300,3,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.771939,0.841367,0.806653
webqsp,pseudo,20,500,0,500,3,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.771939,0.841367,0.806653
webqsp,pseudo,20,500,0,50,5,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.771179,0.841367,0.806273
webqsp,pseudo,20,500,0,100,5,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.771179,0.841367,0.806273
webqsp,pseudo,20,500,0,200,5,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.771179,0.841367,0.806273
webqsp,pseudo,20,500,0,300,5,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.771179,0.841367,0.806273
webqsp,pseudo,20,500,0,500,5,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.771179,0.841367,0.806273
