dataset,k_eval,candidate_k,delta,p_near,b_type,alpha,beta,num_samples,num_valid_samples,num_surrogate_valid_samples,num_rankable_samples,num_aer_effective_samples,num_pc_effective_samples,aer_at_k,path_coverage_at_k,score
webqsp,20,500,1,50,0,0.5,0.2,1639,1639,1546,1559,1559,1559,0.885231,0.924954,0.905092
webqsp,20,500,1,50,1,0.5,0.2,1639,1639,1546,1559,1559,1559,0.885231,0.924954,0.905092
webqsp,20,500,1,50,2,0.5,0.2,1639,1639,1546,1559,1559,1559,0.885231,0.924954,0.905092
webqsp,20,500,1,50,3,0.5,0.2,1639,1639,1546,1559,1559,1559,0.885231,0.924954,0.905092
webqsp,20,500,1,50,4,0.5,0.2,1639,1639,1546,1559,1559,1559,0.885231,0.924954,0.905092
webqsp,20,500,1,50,5,0.5,0.2,1639,1639,1546,1559,1559,1559,0.885231,0.924954,0.905092
webqsp,20,500,1,100,0,0.5,0.2,1639,1639,1546,1559,1559,1559,0.885231,0.924954,0.905092
webqsp,20,500,1,100,1,0.5,0.2,1639,1639,1546,1559,1559,1559,0.885231,0.924954,0.905092
webqsp,20,500,1,100,2,0.5,0.2,1639,1639,1546,1559,1559,1559,0.885231,0.924954,0.905092
webqsp,20,500,1,100,3,0.5,0.2,1639,1639,1546,1559,1559,1559,0.885231,0.924954,0.905092
webqsp,20,500,1,100,4,0.5,0.2,1639,1639,1546,1559,1559,1559,0.885231,0.924954,0.905092
webqsp,20,500,1,100,5,0.5,0.2,1639,1639,1546,1559,1559,1559,0.885231,0.924954,0.905092
webqsp,20,500,1,150,0,0.5,0.2,1639,1639,1546,1559,1559,1559,0.885231,0.924954,0.905092
webqsp,20,500,1,150,1,0.5,0.2,1639,1639,1546,1559,1559,1559,0.885231,0.924954,0.905092
webqsp,20,500,1,150,2,0.5,0.2,1639,1639,1546,1559,1559,1559,0.885231,0.924954,0.905092
webqsp,20,500,1,150,3,0.5,0.2,1639,1639,1546,1559,1559,1559,0.885231,0.924954,0.905092
webqsp,20,500,1,150,4,0.5,0.2,1639,1639,1546,1559,1559,1559,0.885231,0.924954,0.905092
webqsp,20,500,1,150,5,0.5,0.2,1639,1639,1546,1559,1559,1559,0.885231,0.924954,0.905092
webqsp,20,500,1,200,0,0.5,0.2,1639,1639,1546,1559,1559,1559,0.885231,0.924954,0.905092
webqsp,20,500,1,200,1,0.5,0.2,1639,1639,1546,1559,1559,1559,0.885231,0.924954,0.905092
