dataset,k_eval,candidate_k,delta,p_near,b_type,alpha,beta,num_samples,num_valid_samples,num_surrogate_valid_samples,num_rankable_samples,num_aer_effective_samples,num_pc_effective_samples,aer_at_k,path_coverage_at_k,score
webqsp,20,500,0,0,0,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883134,0.924954,0.904044
webqsp,20,500,0,0,1,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883241,0.924954,0.904098
webqsp,20,500,0,0,2,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883217,0.924954,0.904086
webqsp,20,500,0,0,4,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883115,0.924954,0.904034
webqsp,20,500,0,0,8,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883017,0.924954,0.903986
webqsp,20,500,0,0,16,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883017,0.924954,0.903986
webqsp,20,500,0,1,0,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883134,0.924954,0.904044
webqsp,20,500,0,1,1,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883241,0.924954,0.904098
webqsp,20,500,0,1,2,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883217,0.924954,0.904086
webqsp,20,500,0,1,4,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883115,0.924954,0.904034
webqsp,20,500,0,1,8,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883017,0.924954,0.903986
webqsp,20,500,0,1,16,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883017,0.924954,0.903986
webqsp,20,500,0,2,0,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883134,0.924954,0.904044
webqsp,20,500,0,2,1,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883241,0.924954,0.904098
webqsp,20,500,0,2,2,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883217,0.924954,0.904086
webqsp,20,500,0,2,4,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883115,0.924954,0.904034
webqsp,20,500,0,2,8,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883017,0.924954,0.903986
webqsp,20,500,0,2,16,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883017,0.924954,0.903986
webqsp,20,500,0,5,0,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883134,0.924954,0.904044
webqsp,20,500,0,5,1,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883241,0.924954,0.904098
webqsp,20,500,0,5,2,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883217,0.924954,0.904086
webqsp,20,500,0,5,4,0.5,0.2,1639,1639,1546,1559,1559,1559,0.883115,0.924954,0.904034
