dataset,k_eval,candidate_k,delta,p_near,b_type,alpha,beta,num_samples,num_valid_samples,num_surrogate_valid_samples,num_rankable_samples,num_aer_effective_samples,num_pc_effective_samples,aer_at_k,path_coverage_at_k,score
webqsp,20,500,1,20,0,0.5,0.2,1639,1639,1546,1559,1559,1559,0.885231,0.924954,0.905092
webqsp,20,500,1,20,1,0.5,0.2,1639,1639,1546,1559,1559,1559,0.885231,0.924954,0.905092
webqsp,20,500,1,20,2,0.5,0.2,1639,1639,1546,1559,1559,1559,0.885231,0.924954,0.905092
webqsp,20,500,1,20,4,0.5,0.2,1639,1639,1546,1559,1559,1559,0.885231,0.924954,0.905092
webqsp,20,500,1,20,8,0.5,0.2,1639,1639,1546,1559,1559,1559,0.885231,0.924954,0.905092
webqsp,20,500,1,20,16,0.5,0.2,1639,1639,1546,1559,1559,1559,0.885231,0.924954,0.905092
webqsp,20,500,1,30,0,0.5,0.2,1639,1639,1546,1559,1559,1559,0.885231,0.924954,0.905092
webqsp,20,500,1,30,1,0.5,0.2,1639,1639,1546,1559,1559,1559,0.885231,0.924954,0.905092
webqsp,20,500,1,30,2,0.5,0.2,1639,1639,1546,1559,1559,1559,0.885231,0.924954,0.905092
webqsp,20,500,1,30,4,0.5,0.2,1639,1639,1546,1559,1559,1559,0.885231,0.924954,0.905092
webqsp,20,500,1,30,8,0.5,0.2,1639,1639,1546,1559,1559,1559,0.885231,0.924954,0.905092
webqsp,20,500,1,30,16,0.5,0.2,1639,1639,1546,1559,1559,1559,0.885231,0.924954,0.905092
webqsp,20,500,1,15,0,0.5,0.2,1639,1639,1546,1559,1559,1559,0.885018,0.924954,0.904986
webqsp,20,500,1,15,1,0.5,0.2,1639,1639,1546,1559,1559,1559,0.884945,0.924954,0.904949
webqsp,20,500,1,15,2,0.5,0.2,1639,1639,1546,1559,1559,1559,0.88492,0.924954,0.904937
webqsp,20,500,1,15,4,0.5,0.2,1639,1639,1546,1559,1559,1559,0.884847,0.924954,0.904901
webqsp,20,500,1,15,8,0.5,0.2,1639,1639,1546,1559,1559,1559,0.884823,0.924954,0.904888
webqsp,20,500,1,15,16,0.5,0.2,1639,1639,1546,1559,1559,1559,0.884823,0.924954,0.904888
webqsp,20,500,1,10,0,0.5,0.2,1639,1639,1546,1559,1559,1559,0.884448,0.924954,0.904701
webqsp,20,500,1,10,1,0.5,0.2,1639,1639,1546,1559,1559,1559,0.884361,0.924954,0.904658
