dataset,target_mode,k_eval,candidate_k,delta,p_near,b_type,alpha,beta,pseudo_pool_k,pseudo_top_m,num_samples,num_valid_samples,num_surrogate_valid_samples,num_rankable_samples,num_aer_effective_samples,num_pc_effective_samples,aer_at_k,path_coverage_at_k,score
webqsp,pseudo,20,500,2,6,8,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.770451,0.843197,0.806824
webqsp,pseudo,20,500,2,6,12,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.770678,0.843807,0.807243
webqsp,pseudo,20,500,2,6,16,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.771229,0.843807,0.807518
webqsp,pseudo,20,500,2,6,20,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.771341,0.843807,0.807574
webqsp,pseudo,20,500,2,6,24,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.771341,0.843807,0.807574
webqsp,pseudo,20,500,2,6,32,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.771341,0.843807,0.807574
webqsp,pseudo,20,500,2,8,8,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.770298,0.844417,0.807358
webqsp,pseudo,20,500,2,8,12,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.770821,0.845027,0.807924
webqsp,pseudo,20,500,2,8,16,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.771277,0.845027,0.808152
webqsp,pseudo,20,500,2,8,20,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.771389,0.845027,0.808208
webqsp,pseudo,20,500,2,8,24,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.771389,0.845027,0.808208
webqsp,pseudo,20,500,2,8,32,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.771389,0.845027,0.808208
webqsp,pseudo,20,500,2,10,8,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.768296,0.846858,0.807577
webqsp,pseudo,20,500,2,10,12,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.768818,0.847468,0.808143
webqsp,pseudo,20,500,2,10,16,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.768942,0.847468,0.808205
webqsp,pseudo,20,500,2,10,20,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.769048,0.847468,0.808258
webqsp,pseudo,20,500,2,10,24,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.769048,0.847468,0.808258
webqsp,pseudo,20,500,2,10,32,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.769048,0.847468,0.808258
webqsp,pseudo,20,500,2,12,8,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.764441,0.845027,0.804734
webqsp,pseudo,20,500,2,12,12,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.765052,0.845638,0.805345
webqsp,pseudo,20,500,2,12,16,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.765079,0.845638,0.805358
webqsp,pseudo,20,500,2,12,20,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.765142,0.845638,0.80539
webqsp,pseudo,20,500,2,12,24,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.765142,0.845638,0.80539
webqsp,pseudo,20,500,2,12,32,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.765142,0.845638,0.80539
webqsp,pseudo,20,500,2,14,8,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.758729,0.844417,0.801573
webqsp,pseudo,20,500,2,14,12,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.758729,0.844417,0.801573
webqsp,pseudo,20,500,2,14,16,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.758729,0.844417,0.801573
webqsp,pseudo,20,500,2,14,20,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.758757,0.844417,0.801587
webqsp,pseudo,20,500,2,14,24,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.758757,0.844417,0.801587
webqsp,pseudo,20,500,2,14,32,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.758757,0.844417,0.801587
webqsp,pseudo,20,500,2,16,8,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.74025,0.838926,0.789588
webqsp,pseudo,20,500,2,16,12,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.74025,0.838926,0.789588
webqsp,pseudo,20,500,2,16,16,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.74025,0.838926,0.789588
webqsp,pseudo,20,500,2,16,20,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.74025,0.838926,0.789588
