dataset,target_mode,k_eval,candidate_k,delta,p_near,b_type,alpha,beta,pseudo_pool_k,pseudo_top_m,num_samples,num_valid_samples,num_surrogate_valid_samples,num_rankable_samples,num_aer_effective_samples,num_pc_effective_samples,aer_at_k,path_coverage_at_k,score
webqsp,pseudo,20,500,3,11,20,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.774939,0.849908,0.812424
webqsp,pseudo,20,500,3,11,18,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.774904,0.849908,0.812406
webqsp,pseudo,20,500,3,11,16,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.774848,0.849908,0.812378
webqsp,pseudo,20,500,3,11,12,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.774792,0.849908,0.81235
webqsp,pseudo,20,500,3,11,14,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.774792,0.849908,0.81235
webqsp,pseudo,20,500,3,10,20,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.774792,0.848688,0.81174
webqsp,pseudo,20,500,3,10,18,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.774757,0.848688,0.811723
webqsp,pseudo,20,500,3,10,16,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.774687,0.848688,0.811687
webqsp,pseudo,20,500,3,10,14,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.774573,0.848688,0.811631
webqsp,pseudo,20,500,3,10,12,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.774563,0.848688,0.811626
webqsp,pseudo,20,500,3,12,20,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.773184,0.848688,0.810936
webqsp,pseudo,20,500,3,12,18,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.773157,0.848688,0.810922
webqsp,pseudo,20,500,3,12,16,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.773122,0.848688,0.810905
webqsp,pseudo,20,500,3,12,12,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.773094,0.848688,0.810891
webqsp,pseudo,20,500,3,12,14,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.773094,0.848688,0.810891
webqsp,pseudo,20,500,3,9,20,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.774407,0.846248,0.810327
webqsp,pseudo,20,500,3,9,18,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.774372,0.846248,0.81031
webqsp,pseudo,20,500,5,11,20,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.776199,0.844417,0.810308
webqsp,pseudo,20,500,6,11,20,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.776199,0.844417,0.810308
webqsp,pseudo,20,500,5,14,20,0.5,0.2,100,3,1639,1639,1637,1638,1559,1559,0.776194,0.844417,0.810306
